genero,title,vote_average,cast,director
Drama,hearts in atlantis,6.4,Anthony Hopkins Anton Yelchin Hope Davis Mika Boorem David Morse,Scott Hicks
Mystery,hearts in atlantis,6.4,Anthony Hopkins Anton Yelchin Hope Davis Mika Boorem David Morse,Scott Hicks
Comedy,arachnophobia,6.2,Jeff Daniels Harley Jane Kozak Garette Ratliff Henson Marlene Katz Julian Sands,Frank Marshall
Horror,arachnophobia,6.2,Jeff Daniels Harley Jane Kozak Garette Ratliff Henson Marlene Katz Julian Sands,Frank Marshall
Crime,frequency,7.0,Dennis Quaid Jim Caviezel Andre Braugher Elizabeth Mitchell Noah Emmerich,Gregory Hoblit
Drama,frequency,7.0,Dennis Quaid Jim Caviezel Andre Braugher Elizabeth Mitchell Noah Emmerich,Gregory Hoblit
Science,frequency,7.0,Dennis Quaid Jim Caviezel Andre Braugher Elizabeth Mitchell Noah Emmerich,Gregory Hoblit
Fiction,frequency,7.0,Dennis Quaid Jim Caviezel Andre Braugher Elizabeth Mitchell Noah Emmerich,Gregory Hoblit
Thriller,frequency,7.0,Dennis Quaid Jim Caviezel Andre Braugher Elizabeth Mitchell Noah Emmerich,Gregory Hoblit
Comedy,vacation,6.2,Ed Helms Christina Applegate Skyler Gisondo Steele Stebbins Chris Hemsworth,John Francis Daley
Comedy,get shorty,6.4,John Travolta Gene Hackman Rene Russo Danny DeVito Dennis Farina,Barry Sonnenfeld
Thriller,get shorty,6.4,John Travolta Gene Hackman Rene Russo Danny DeVito Dennis Farina,Barry Sonnenfeld
Crime,get shorty,6.4,John Travolta Gene Hackman Rene Russo Danny DeVito Dennis Farina,Barry Sonnenfeld
Action,chicago,6.9,Catherine Zeta-Jones Ren\u00e9e Zellweger Queen Latifah Richard Gere Christine Baranski,Rob Marshall
Comedy,chicago,6.9,Catherine Zeta-Jones Ren\u00e9e Zellweger Queen Latifah Richard Gere Christine Baranski,Rob Marshall
Crime,chicago,6.9,Catherine Zeta-Jones Ren\u00e9e Zellweger Queen Latifah Richard Gere Christine Baranski,Rob Marshall
Drama,chicago,6.9,Catherine Zeta-Jones Ren\u00e9e Zellweger Queen Latifah Richard Gere Christine Baranski,Rob Marshall
Music,chicago,6.9,Catherine Zeta-Jones Ren\u00e9e Zellweger Queen Latifah Richard Gere Christine Baranski,Rob Marshall
Comedy,big daddy,6.1,Adam Sandler Joey Lauren Adams Kristy Swanson Cole Sprouse Jon Stewart,Dennis Dugan
Drama,big daddy,6.1,Adam Sandler Joey Lauren Adams Kristy Swanson Cole Sprouse Jon Stewart,Dennis Dugan
Comedy,american pie 2,6.0,Jason Biggs Thomas Ian Nicholas Chris Klein Seann William Scott Eddie Kaye Thomas,J.B. Rogers
Romance,american pie 2,6.0,Jason Biggs Thomas Ian Nicholas Chris Klein Seann William Scott Eddie Kaye Thomas,J.B. Rogers
Animation,toy story,7.7,Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn,John Lasseter
Comedy,toy story,7.7,Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn,John Lasseter
Family,toy story,7.7,Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn,John Lasseter
Action,speed,6.8,Keanu Reeves Dennis Hopper Sandra Bullock Joe Morton Jeff Daniels,Jan de Bont
Adventure,speed,6.8,Keanu Reeves Dennis Hopper Sandra Bullock Joe Morton Jeff Daniels,Jan de Bont
Crime,speed,6.8,Keanu Reeves Dennis Hopper Sandra Bullock Joe Morton Jeff Daniels,Jan de Bont
Drama,the vow,7.0,Rachel McAdams Channing Tatum Sam Neill Scott Speedman Jessica Lange,Michael Sucsy
Romance,the vow,7.0,Rachel McAdams Channing Tatum Sam Neill Scott Speedman Jessica Lange,Michael Sucsy
Drama,extraordinary measures,6.0,Harrison Ford Brendan Fraser Keri Russell Courtney B. Vance Meredith Droeger,Tom Vaughan
Drama,remember the titans,7.4,Denzel Washington Will Patton Ryan Hurst Wood Harris Hayden Panettiere,Boaz Yakin
Action,the hunt for red october,7.2,Alec Baldwin Sean Connery Scott Glenn Sam Neill James Earl Jones,John McTiernan
Adventure,the hunt for red october,7.2,Alec Baldwin Sean Connery Scott Glenn Sam Neill James Earl Jones,John McTiernan
Thriller,the hunt for red october,7.2,Alec Baldwin Sean Connery Scott Glenn Sam Neill James Earl Jones,John McTiernan
Drama,the butler,7.2,Forest Whitaker David Banner Michael Rainey Jr. LaJessie Smith Mariah Carey,Lee Daniels
Comedy,dodgeball: a true underdog story,6.2,Vince Vaughn Christine Taylor Ben Stiller Rip Torn Justin Long,Rawson Marshall Thurber
Horror,the addams family,6.7,Ra\u00fal Juli\u00e1 Anjelica Huston Christopher Lloyd Christina Ricci Carel Struycken,Barry Sonnenfeld
Comedy,the addams family,6.7,Ra\u00fal Juli\u00e1 Anjelica Huston Christopher Lloyd Christina Ricci Carel Struycken,Barry Sonnenfeld
Fantasy,the addams family,6.7,Ra\u00fal Juli\u00e1 Anjelica Huston Christopher Lloyd Christina Ricci Carel Struycken,Barry Sonnenfeld
Crime,ace ventura: when nature calls,6.1,Jim Carrey Ian McNeice Simon Callow Maynard Eziashi Bob Gunton,Steve Oedekerk
Comedy,ace ventura: when nature calls,6.1,Jim Carrey Ian McNeice Simon Callow Maynard Eziashi Bob Gunton,Steve Oedekerk
Adventure,ace ventura: when nature calls,6.1,Jim Carrey Ian McNeice Simon Callow Maynard Eziashi Bob Gunton,Steve Oedekerk
Comedy,the princess diaries,6.5,Anne Hathaway Julie Andrews Heather Matarazzo Robert Schwartzman H\u00e9ctor Elizondo,Garry Marshall
Family,the princess diaries,6.5,Anne Hathaway Julie Andrews Heather Matarazzo Robert Schwartzman H\u00e9ctor Elizondo,Garry Marshall
Romance,the princess diaries,6.5,Anne Hathaway Julie Andrews Heather Matarazzo Robert Schwartzman H\u00e9ctor Elizondo,Garry Marshall
Comedy,the first wives club,6.5,Goldie Hawn Bette Midler Diane Keaton Maggie Smith Dan Hedaya,Hugh Wilson
Crime,se7en,8.1,Brad Pitt Morgan Freeman Gwyneth Paltrow John C. McGinley Kevin Spacey,David Fincher
Mystery,se7en,8.1,Brad Pitt Morgan Freeman Gwyneth Paltrow John C. McGinley Kevin Spacey,David Fincher
Thriller,se7en,8.1,Brad Pitt Morgan Freeman Gwyneth Paltrow John C. McGinley Kevin Spacey,David Fincher
Science,district 9,7.3,Sharlto Copley Jason Cope Nathalie Boltt Sylvaine Strike Elizabeth Mkandawie,Neill Blomkamp
Fiction,district 9,7.3,Sharlto Copley Jason Cope Nathalie Boltt Sylvaine Strike Elizabeth Mkandawie,Neill Blomkamp
Animation,the spongebob squarepants movie,6.7,Tom Kenny Clancy Brown Rodger Bumpass Bill Fagerbakke Carolyn Lawrence,Stephen Hillenburg
Comedy,the spongebob squarepants movie,6.7,Tom Kenny Clancy Brown Rodger Bumpass Bill Fagerbakke Carolyn Lawrence,Stephen Hillenburg
Family,the spongebob squarepants movie,6.7,Tom Kenny Clancy Brown Rodger Bumpass Bill Fagerbakke Carolyn Lawrence,Stephen Hillenburg
Thriller,mystic river,7.6,Sean Penn Tim Robbins Kevin Bacon Laurence Fishburne Marcia Gay Harden,Clint Eastwood
Crime,mystic river,7.6,Sean Penn Tim Robbins Kevin Bacon Laurence Fishburne Marcia Gay Harden,Clint Eastwood
Drama,mystic river,7.6,Sean Penn Tim Robbins Kevin Bacon Laurence Fishburne Marcia Gay Harden,Clint Eastwood
Mystery,mystic river,7.6,Sean Penn Tim Robbins Kevin Bacon Laurence Fishburne Marcia Gay Harden,Clint Eastwood
Drama,million dollar baby,7.7,Clint Eastwood Hilary Swank Morgan Freeman Jay Baruchel Mike Colter,Clint Eastwood
Comedy,analyze this,6.4,Robert De Niro Billy Crystal Lisa Kudrow Chazz Palminteri Joe Viterelli,Harold Ramis
Crime,analyze this,6.4,Robert De Niro Billy Crystal Lisa Kudrow Chazz Palminteri Joe Viterelli,Harold Ramis
Romance,the notebook,7.7,Rachel McAdams Ryan Gosling Gena Rowlands James Garner Sam Shepard,Nick Cassavetes
Drama,the notebook,7.7,Rachel McAdams Ryan Gosling Gena Rowlands James Garner Sam Shepard,Nick Cassavetes
Comedy,27 dresses,6.1,Katherine Heigl James Marsden Malin \u00c5kerman Judy Greer Edward Burns,Anne Fletcher
Romance,27 dresses,6.1,Katherine Heigl James Marsden Malin \u00c5kerman Judy Greer Edward Burns,Anne Fletcher
Comedy,hannah montana: the movie,6.0,Miley Cyrus Billy Ray Cyrus Emily Osment Jason Earles Taylor Swift,Peter Chelsom
Drama,hannah montana: the movie,6.0,Miley Cyrus Billy Ray Cyrus Emily Osment Jason Earles Taylor Swift,Peter Chelsom
Family,hannah montana: the movie,6.0,Miley Cyrus Billy Ray Cyrus Emily Osment Jason Earles Taylor Swift,Peter Chelsom
Music,hannah montana: the movie,6.0,Miley Cyrus Billy Ray Cyrus Emily Osment Jason Earles Taylor Swift,Peter Chelsom
Romance,hannah montana: the movie,6.0,Miley Cyrus Billy Ray Cyrus Emily Osment Jason Earles Taylor Swift,Peter Chelsom
Adventure,rugrats in paris: the movie,6.0,E.G. Daily Susan Sarandon John Lithgow Tara Strong Cheryl Chase,Stig Bergqvist
Animation,rugrats in paris: the movie,6.0,E.G. Daily Susan Sarandon John Lithgow Tara Strong Cheryl Chase,Stig Bergqvist
Comedy,rugrats in paris: the movie,6.0,E.G. Daily Susan Sarandon John Lithgow Tara Strong Cheryl Chase,Stig Bergqvist
Family,rugrats in paris: the movie,6.0,E.G. Daily Susan Sarandon John Lithgow Tara Strong Cheryl Chase,Stig Bergqvist
Drama,the prince of tides,5.9,Nick Nolte Barbra Streisand Blythe Danner Kate Nelligan Jeroen Krabb\u00e9,Barbra Streisand
Romance,the prince of tides,5.9,Nick Nolte Barbra Streisand Blythe Danner Kate Nelligan Jeroen Krabb\u00e9,Barbra Streisand
Adventure,legends of the fall,7.2,Brad Pitt Anthony Hopkins Aidan Quinn Julia Ormond Henry Thomas,Edward Zwick
Drama,legends of the fall,7.2,Brad Pitt Anthony Hopkins Aidan Quinn Julia Ormond Henry Thomas,Edward Zwick
Romance,legends of the fall,7.2,Brad Pitt Anthony Hopkins Aidan Quinn Julia Ormond Henry Thomas,Edward Zwick
War,legends of the fall,7.2,Brad Pitt Anthony Hopkins Aidan Quinn Julia Ormond Henry Thomas,Edward Zwick
Drama,up in the air,6.7,George Clooney Vera Farmiga Anna Kendrick Jason Bateman Melanie Lynskey,Jason Reitman
Romance,up in the air,6.7,George Clooney Vera Farmiga Anna Kendrick Jason Bateman Melanie Lynskey,Jason Reitman
Drama,about schmidt,6.7,Jack Nicholson Kathy Bates Hope Davis Dermot Mulroney June Squibb,Alexander Payne
Comedy,about schmidt,6.7,Jack Nicholson Kathy Bates Hope Davis Dermot Mulroney June Squibb,Alexander Payne
Horror,warm bodies,6.4,Nicholas Hoult Teresa Palmer Analeigh Tipton Rob Corddry Dave Franco,Jonathan Levine
Comedy,warm bodies,6.4,Nicholas Hoult Teresa Palmer Analeigh Tipton Rob Corddry Dave Franco,Jonathan Levine
Romance,warm bodies,6.4,Nicholas Hoult Teresa Palmer Analeigh Tipton Rob Corddry Dave Franco,Jonathan Levine
Action,looper,6.6,Joseph Gordon-Levitt Bruce Willis Emily Blunt Paul Dano Noah Segan,Rian Johnson
Thriller,looper,6.6,Joseph Gordon-Levitt Bruce Willis Emily Blunt Paul Dano Noah Segan,Rian Johnson
Science,looper,6.6,Joseph Gordon-Levitt Bruce Willis Emily Blunt Paul Dano Noah Segan,Rian Johnson
Fiction,looper,6.6,Joseph Gordon-Levitt Bruce Willis Emily Blunt Paul Dano Noah Segan,Rian Johnson
Fantasy,down to earth,4.9,Chris Rock Regina King Chazz Palminteri Eugene Levy Frankie Faison,Chris Weitz
Comedy,down to earth,4.9,Chris Rock Regina King Chazz Palminteri Eugene Levy Frankie Faison,Chris Weitz
Science,down to earth,4.9,Chris Rock Regina King Chazz Palminteri Eugene Levy Frankie Faison,Chris Weitz
Fiction,down to earth,4.9,Chris Rock Regina King Chazz Palminteri Eugene Levy Frankie Faison,Chris Weitz
Romance,down to earth,4.9,Chris Rock Regina King Chazz Palminteri Eugene Levy Frankie Faison,Chris Weitz
Fantasy,babe,6.0,Christine Cavanaugh Miriam Margolyes Danny Mann Hugo Weaving Miriam Flynn,Chris Noonan
Drama,babe,6.0,Christine Cavanaugh Miriam Margolyes Danny Mann Hugo Weaving Miriam Flynn,Chris Noonan
Comedy,babe,6.0,Christine Cavanaugh Miriam Margolyes Danny Mann Hugo Weaving Miriam Flynn,Chris Noonan
Family,babe,6.0,Christine Cavanaugh Miriam Margolyes Danny Mann Hugo Weaving Miriam Flynn,Chris Noonan
Drama,hope springs,5.8,Meryl Streep Steve Carell Tommy Lee Jones Jean Smart Marin Ireland,David Frankel
Comedy,hope springs,5.8,Meryl Streep Steve Carell Tommy Lee Jones Jean Smart Marin Ireland,David Frankel
Romance,hope springs,5.8,Meryl Streep Steve Carell Tommy Lee Jones Jean Smart Marin Ireland,David Frankel
Comedy,forgetting sarah marshall,6.4,Jason Segel Kristen Bell Mila Kunis Russell Brand Bill Hader,Nicholas Stoller
Romance,forgetting sarah marshall,6.4,Jason Segel Kristen Bell Mila Kunis Russell Brand Bill Hader,Nicholas Stoller
Drama,forgetting sarah marshall,6.4,Jason Segel Kristen Bell Mila Kunis Russell Brand Bill Hader,Nicholas Stoller
Action,four brothers,6.7,Mark Wahlberg Tyrese Gibson Andr\u00e9 Benjamin Garrett Hedlund Terrence Howard,John Singleton
Crime,four brothers,6.7,Mark Wahlberg Tyrese Gibson Andr\u00e9 Benjamin Garrett Hedlund Terrence Howard,John Singleton
Comedy,baby mama,5.8,Tina Fey Amy Poehler Dax Shepard Sigourney Weaver Greg Kinnear,Michael McCullers
Drama,hope floats,5.8,Sandra Bullock Harry Connick Jr. Gena Rowlands Mae Whitman Michael Par\u00e9,Forest Whitaker
Romance,hope floats,5.8,Sandra Bullock Harry Connick Jr. Gena Rowlands Mae Whitman Michael Par\u00e9,Forest Whitaker
Comedy,bride wars,5.9,Anne Hathaway Kate Hudson Bryan Greenberg Chris Pratt Steve Howey,Gary Winick
Action,without a paddle,5.3,Seth Green Matthew Lillard Dax Shepard Antony Starr Andrew Hampton,Steven Brill
Adventure,without a paddle,5.3,Seth Green Matthew Lillard Dax Shepard Antony Starr Andrew Hampton,Steven Brill
Comedy,without a paddle,5.3,Seth Green Matthew Lillard Dax Shepard Antony Starr Andrew Hampton,Steven Brill
Thriller,without a paddle,5.3,Seth Green Matthew Lillard Dax Shepard Antony Starr Andrew Hampton,Steven Brill
Comedy,13 going on 30,6.3,Jennifer Garner Mark Ruffalo Judy Greer Andy Serkis Kathy Baker,Gary Winick
Fantasy,13 going on 30,6.3,Jennifer Garner Mark Ruffalo Judy Greer Andy Serkis Kathy Baker,Gary Winick
Romance,13 going on 30,6.3,Jennifer Garner Mark Ruffalo Judy Greer Andy Serkis Kathy Baker,Gary Winick
Fantasy,midnight in paris,7.4,Owen Wilson Rachel McAdams Kurt Fuller Mimi Kennedy Michael Sheen,Woody Allen
Comedy,midnight in paris,7.4,Owen Wilson Rachel McAdams Kurt Fuller Mimi Kennedy Michael Sheen,Woody Allen
Romance,midnight in paris,7.4,Owen Wilson Rachel McAdams Kurt Fuller Mimi Kennedy Michael Sheen,Woody Allen
Animation,the nut job,5.5,Will Arnett Katherine Heigl Brendan Fraser Liam Neeson Stephen Lang,Peter Lepeniotis
Comedy,the nut job,5.5,Will Arnett Katherine Heigl Brendan Fraser Liam Neeson Stephen Lang,Peter Lepeniotis
Family,the nut job,5.5,Will Arnett Katherine Heigl Brendan Fraser Liam Neeson Stephen Lang,Peter Lepeniotis
Adventure,the nut job,5.5,Will Arnett Katherine Heigl Brendan Fraser Liam Neeson Stephen Lang,Peter Lepeniotis
Crime,blow,7.4,Johnny Depp Pen\u00e9lope Cruz Ethan Suplee Ray Liotta Franka Potente,Ted Demme
Drama,blow,7.4,Johnny Depp Pen\u00e9lope Cruz Ethan Suplee Ray Liotta Franka Potente,Ted Demme
Romance,message in a bottle,5.8,Kevin Costner Robin Wright Paul Newman John Savage Illeana Douglas,Luis Mandoki
Drama,message in a bottle,5.8,Kevin Costner Robin Wright Paul Newman John Savage Illeana Douglas,Luis Mandoki
Science,star trek v: the final frontier,5.6,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,William Shatner
Fiction,star trek v: the final frontier,5.6,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,William Shatner
Action,star trek v: the final frontier,5.6,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,William Shatner
Adventure,star trek v: the final frontier,5.6,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,William Shatner
Thriller,star trek v: the final frontier,5.6,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,William Shatner
Comedy,like mike,5.7,Shad Moss Morris Chestnut Jonathan Lipnicki Brenda Song Jesse Plemons,John Schultz
Drama,like mike,5.7,Shad Moss Morris Chestnut Jonathan Lipnicki Brenda Song Jesse Plemons,John Schultz
Family,like mike,5.7,Shad Moss Morris Chestnut Jonathan Lipnicki Brenda Song Jesse Plemons,John Schultz
Fantasy,like mike,5.7,Shad Moss Morris Chestnut Jonathan Lipnicki Brenda Song Jesse Plemons,John Schultz
Comedy,the naked gun 33⅓: the final insult,6.3,Leslie Nielsen Priscilla Presley George Kennedy O.J. Simpson Fred Ward,Peter Segal
Crime,the naked gun 33⅓: the final insult,6.3,Leslie Nielsen Priscilla Presley George Kennedy O.J. Simpson Fred Ward,Peter Segal
Adventure,a view to a kill,6.0,Roger Moore Christopher Walken Tanya Roberts Grace Jones Patrick Macnee,John Glen
Action,a view to a kill,6.0,Roger Moore Christopher Walken Tanya Roberts Grace Jones Patrick Macnee,John Glen
Thriller,a view to a kill,6.0,Roger Moore Christopher Walken Tanya Roberts Grace Jones Patrick Macnee,John Glen
Adventure,the curse of the were-rabbit,6.8,Peter Sallis Helena Bonham Carter Ralph Fiennes Nicholas Smith Liz Smith,Nick Park
Animation,the curse of the were-rabbit,6.8,Peter Sallis Helena Bonham Carter Ralph Fiennes Nicholas Smith Liz Smith,Nick Park
Comedy,the curse of the were-rabbit,6.8,Peter Sallis Helena Bonham Carter Ralph Fiennes Nicholas Smith Liz Smith,Nick Park
Family,the curse of the were-rabbit,6.8,Peter Sallis Helena Bonham Carter Ralph Fiennes Nicholas Smith Liz Smith,Nick Park
Drama,p.s. i love you,6.9,Hilary Swank Gerard Butler Lisa Kudrow Harry Connick Jr. Gina Gershon,Richard LaGravenese
Romance,p.s. i love you,6.9,Hilary Swank Gerard Butler Lisa Kudrow Harry Connick Jr. Gina Gershon,Richard LaGravenese
Comedy,racing stripes,5.1,Frankie Muniz Mandy Moore Hayden Panettiere Bruce Greenwood Wendie Malick,Frederik Du Chau
Drama,atonement,7.4,Keira Knightley James McAvoy Romola Garai Saoirse Ronan Brenda Blethyn,Joe Wright
Romance,atonement,7.4,Keira Knightley James McAvoy Romola Garai Saoirse Ronan Brenda Blethyn,Joe Wright
Comedy,letters to juliet,6.6,Amanda Seyfried Christopher Egan Gael Garc\u00eda Bernal Vanessa Redgrave Franco Nero,Gary Winick
Drama,letters to juliet,6.6,Amanda Seyfried Christopher Egan Gael Garc\u00eda Bernal Vanessa Redgrave Franco Nero,Gary Winick
Romance,letters to juliet,6.6,Amanda Seyfried Christopher Egan Gael Garc\u00eda Bernal Vanessa Redgrave Franco Nero,Gary Winick
Action,black rain,6.2,Michael Douglas Andy Garc\u00eda Kate Capshaw Shigeru K\u00f4yama John Spencer,Ridley Scott
Thriller,black rain,6.2,Michael Douglas Andy Garc\u00eda Kate Capshaw Shigeru K\u00f4yama John Spencer,Ridley Scott
Crime,black rain,6.2,Michael Douglas Andy Garc\u00eda Kate Capshaw Shigeru K\u00f4yama John Spencer,Ridley Scott
Comedy,the three stooges,4.9,Sean Hayes Will Sasso Chris Diamantopoulos Jane Lynch Sof\u00eda Vergara,Bobby Farrelly
Romance,corpse bride,7.2,Johnny Depp Helena Bonham Carter Emily Watson Tracey Ullman Paul Whitehouse,Tim Burton
Fantasy,corpse bride,7.2,Johnny Depp Helena Bonham Carter Emily Watson Tracey Ullman Paul Whitehouse,Tim Burton
Animation,corpse bride,7.2,Johnny Depp Helena Bonham Carter Emily Watson Tracey Ullman Paul Whitehouse,Tim Burton
Music,corpse bride,7.2,Johnny Depp Helena Bonham Carter Emily Watson Tracey Ullman Paul Whitehouse,Tim Burton
Drama,glory road,7.2,Josh Lucas Derek Luke Jon Voight Austin Nichols Evan Jones,James Gartner
Action,sicario,7.2,Emily Blunt Benicio del Toro Josh Brolin Victor Garber Jon Bernthal,Denis Villeneuve
Crime,sicario,7.2,Emily Blunt Benicio del Toro Josh Brolin Victor Garber Jon Bernthal,Denis Villeneuve
Drama,sicario,7.2,Emily Blunt Benicio del Toro Josh Brolin Victor Garber Jon Bernthal,Denis Villeneuve
Mystery,sicario,7.2,Emily Blunt Benicio del Toro Josh Brolin Victor Garber Jon Bernthal,Denis Villeneuve
Thriller,sicario,7.2,Emily Blunt Benicio del Toro Josh Brolin Victor Garber Jon Bernthal,Denis Villeneuve
Action,southpaw,7.3,Jake Gyllenhaal Rachel McAdams Forest Whitaker Oona Laurence 50 Cent,Antoine Fuqua
Drama,southpaw,7.3,Jake Gyllenhaal Rachel McAdams Forest Whitaker Oona Laurence 50 Cent,Antoine Fuqua
Horror,drag me to hell,6.2,Alison Lohman Justin Long Lorna Raver Dileep Rao David Paymer,Sam Raimi
Thriller,drag me to hell,6.2,Alison Lohman Justin Long Lorna Raver Dileep Rao David Paymer,Sam Raimi
Fantasy,the age of adaline,7.4,Blake Lively Michiel Huisman Harrison Ford Ellen Burstyn Kathy Baker,Lee Toland Krieger
Drama,the age of adaline,7.4,Blake Lively Michiel Huisman Harrison Ford Ellen Burstyn Kathy Baker,Lee Toland Krieger
Romance,the age of adaline,7.4,Blake Lively Michiel Huisman Harrison Ford Ellen Burstyn Kathy Baker,Lee Toland Krieger
Comedy,secondhand lions,6.9,Michael Caine Robert Duvall Haley Joel Osment Josh Lucas Kyra Sedgwick,Tim McCanlies
Drama,secondhand lions,6.9,Michael Caine Robert Duvall Haley Joel Osment Josh Lucas Kyra Sedgwick,Tim McCanlies
Family,secondhand lions,6.9,Michael Caine Robert Duvall Haley Joel Osment Josh Lucas Kyra Sedgwick,Tim McCanlies
Drama,step up 3d,6.6,Rick Malambri Adam G. Sevani Joe Slaughter Sharni Vinson Alyson Stoner,Jon M. Chu
Romance,step up 3d,6.6,Rick Malambri Adam G. Sevani Joe Slaughter Sharni Vinson Alyson Stoner,Jon M. Chu
Adventure,blue crush,5.6,Kate Bosworth Matthew Davis Michelle Rodriguez Sanoe Lake Mika Boorem,John Stockwell
Comedy,stranger than fiction,7.1,Will Ferrell Maggie Gyllenhaal Dustin Hoffman Emma Thompson Queen Latifah,Marc Forster
Drama,stranger than fiction,7.1,Will Ferrell Maggie Gyllenhaal Dustin Hoffman Emma Thompson Queen Latifah,Marc Forster
Fantasy,stranger than fiction,7.1,Will Ferrell Maggie Gyllenhaal Dustin Hoffman Emma Thompson Queen Latifah,Marc Forster
Romance,stranger than fiction,7.1,Will Ferrell Maggie Gyllenhaal Dustin Hoffman Emma Thompson Queen Latifah,Marc Forster
Horror,30 days of night,6.2,Josh Hartnett Melissa George Ben Foster Danny Huston Mark Boone Junior,David Slade
Thriller,30 days of night,6.2,Josh Hartnett Melissa George Ben Foster Danny Huston Mark Boone Junior,David Slade
Horror,the cabin in the woods,6.5,Kristen Connolly Chris Hemsworth Anna Hutchison Fran Kranz Jesse Williams,Drew Goddard
Thriller,the cabin in the woods,6.5,Kristen Connolly Chris Hemsworth Anna Hutchison Fran Kranz Jesse Williams,Drew Goddard
Comedy,meet the spartans,3.7,Sean Maguire Carmen Electra Ken Davitian Kevin Sorbo Diedrich Bader,Jason Friedberg
Adventure,midnight run,7.2,Robert De Niro Charles Grodin Yaphet Kotto John Ashton Dennis Farina,Martin Brest
Comedy,midnight run,7.2,Robert De Niro Charles Grodin Yaphet Kotto John Ashton Dennis Farina,Martin Brest
Crime,midnight run,7.2,Robert De Niro Charles Grodin Yaphet Kotto John Ashton Dennis Farina,Martin Brest
Action,the running man,6.4,Arnold Schwarzenegger Richard Dawson Mar\u00eda Conchita Alonso Yaphet Kotto Jim Brown,Paul Michael Glaser
Science,the running man,6.4,Arnold Schwarzenegger Richard Dawson Mar\u00eda Conchita Alonso Yaphet Kotto Jim Brown,Paul Michael Glaser
Fiction,the running man,6.4,Arnold Schwarzenegger Richard Dawson Mar\u00eda Conchita Alonso Yaphet Kotto Jim Brown,Paul Michael Glaser
Horror,little shop of horrors,6.6,Rick Moranis Ellen Greene Vincent Gardenia Steve Martin Tisha Campbell-Martin,Frank Oz
Comedy,little shop of horrors,6.6,Rick Moranis Ellen Greene Vincent Gardenia Steve Martin Tisha Campbell-Martin,Frank Oz
Music,little shop of horrors,6.6,Rick Moranis Ellen Greene Vincent Gardenia Steve Martin Tisha Campbell-Martin,Frank Oz
Action,hanna,6.5,Saoirse Ronan Eric Bana Vicky Krieps Cate Blanchett Tom Hollander,Joe Wright
Thriller,hanna,6.5,Saoirse Ronan Eric Bana Vicky Krieps Cate Blanchett Tom Hollander,Joe Wright
Adventure,hanna,6.5,Saoirse Ronan Eric Bana Vicky Krieps Cate Blanchett Tom Hollander,Joe Wright
Action,mortal kombat: annihilation,3.8,Robin Shou Talisa Soto James Remar Sandra Hess Lynn 'Red' Williams,John R. Leonetti
Fantasy,mortal kombat: annihilation,3.8,Robin Shou Talisa Soto James Remar Sandra Hess Lynn 'Red' Williams,John R. Leonetti
Science,mortal kombat: annihilation,3.8,Robin Shou Talisa Soto James Remar Sandra Hess Lynn 'Red' Williams,John R. Leonetti
Fiction,mortal kombat: annihilation,3.8,Robin Shou Talisa Soto James Remar Sandra Hess Lynn 'Red' Williams,John R. Leonetti
Comedy,larry crowne,5.7,Tom Hanks Julia Roberts Bryan Cranston Cedric the Entertainer Pam Grier,Tom Hanks
Romance,larry crowne,5.7,Tom Hanks Julia Roberts Bryan Cranston Cedric the Entertainer Pam Grier,Tom Hanks
Drama,larry crowne,5.7,Tom Hanks Julia Roberts Bryan Cranston Cedric the Entertainer Pam Grier,Tom Hanks
Drama,carrie,5.8,Chlo\u00eb Grace Moretz Julianne Moore Judy Greer Alex Russell Portia Doubleday,Kimberly Peirce
Horror,carrie,5.8,Chlo\u00eb Grace Moretz Julianne Moore Judy Greer Alex Russell Portia Doubleday,Kimberly Peirce
Music,take the lead,6.6,Antonio Banderas Rob Brown Yaya DaCosta Alfre Woodard John Ortiz,Liz Friedlander
Action,gridiron gang,6.5,Dwayne Johnson Xzibit L. Scott Caldwell Leon Rippy Kevin Dunn,Phil Joanou
Adventure,gridiron gang,6.5,Dwayne Johnson Xzibit L. Scott Caldwell Leon Rippy Kevin Dunn,Phil Joanou
Crime,gridiron gang,6.5,Dwayne Johnson Xzibit L. Scott Caldwell Leon Rippy Kevin Dunn,Phil Joanou
Drama,gridiron gang,6.5,Dwayne Johnson Xzibit L. Scott Caldwell Leon Rippy Kevin Dunn,Phil Joanou
Action,what's the worst that could happen?,5.1,Martin Lawrence Danny DeVito John Leguizamo Glenne Headly Carmen Ejogo,Sam Weisman
Comedy,what's the worst that could happen?,5.1,Martin Lawrence Danny DeVito John Leguizamo Glenne Headly Carmen Ejogo,Sam Weisman
Action,9,6.6,Christopher Plummer Martin Landau John C. Reilly Crispin Glover Jennifer Connelly,Shane Acker
Adventure,9,6.6,Christopher Plummer Martin Landau John C. Reilly Crispin Glover Jennifer Connelly,Shane Acker
